date,league,t1,t2,bet_type,bet_line,ROI,fair_odds,odds,House,url,status,message_sent,settled,settlement_sent
2023-10-12,LOL - World Champs Play-In,LOUD,PSG Talon,under,total_dragons 4.5,37.25%,1.46,2.0,Bet365,,pending,1,1,1
2023-10-12,LOL - World Champs Play-In,LOUD,PSG Talon,under,total_towers 12.5,3.34%,1.77,1.83,Bet365,,pending,1,1,1
2023-10-12,LOL - World Champs Play-In,LOUD,PSG Talon,under,total_kills 26.5,4.06%,1.76,1.83,Bet365,,pending,1,1,1
2023-10-12,LOL - World Champs Play-In,LOUD,PSG Talon,under,game_duration 33.5,37.07%,1.34,1.83,Bet365,,pending,1,1,1
2023-10-12,LOL - World Champs Play-In,LOUD,PSG Talon,under,total_inhibitors 1.5,39.22%,1.88,2.62,Bet365,,pending,1,1,1
2023-10-13,LOL - World Champs Play-In,GAM Esports,Movistar R7,under,total_dragons 4.5,0.37%,1.49,1.5,Bet365,,pending,1,1,1
2023-10-13,LOL - World Champs Play-In,GAM Esports,Movistar R7,over,total_kills 25.5,34.83%,1.36,1.83,Bet365,,pending,1,1,1
2023-10-13,LOL - World Champs Play-In,GAM Esports,Movistar R7,over,game_duration 29.5,10.34%,1.66,1.83,Bet365,,pending,1,1,1
2023-10-31,Coupe de France,Team GO,Team du Sud,over,total_kills 31.5,5.34%,1.74,1.832,Dafabet,,pending,1,0,0
2023-10-31,Coupe de France,Team GO,Team du Sud,FD,first_dragon Team du Sud,4.83%,1.82,1.906,Dafabet,,pending,1,0,0
2023-10-31,Coupe de France,Team GO,Team du Sud,under,game_duration 31.0,22.14%,1.54,1.879,Dafabet,,pending,1,0,0
2023-10-12,LOL - World Champs Play-In,PSG Talon,LOUD,under,game_duration 31.5,3.34%,1.77,1.83,Bet365,,pending,1,1,1
2023-10-12,LOL - World Champs Play-In,Team Whales,CTBC Flying Oyster,under,total_towers 12.5,29.52%,1.21,1.57,Bet365,,pending,1,1,1
2023-10-12,LOL - World Champs Play-In,Team Whales,CTBC Flying Oyster,under,total_kills 25.5,4.50%,1.82,1.9,Bet365,,pending,1,1,1
2023-10-12,LOL - World Champs Play-In,Team Whales,CTBC Flying Oyster,under,total_inhibitors 1.5,57.50%,1.43,2.25,Bet365,,pending,1,1,1
2023-10-13,LOL - World Champs Play-In,Team BDS,DetonatioN FocusMe,under,total_kills 24.5,18.68%,1.54,1.83,Bet365,,pending,1,1,1
2023-10-13,LOL - World Champs Play-In,Team BDS,DetonatioN FocusMe,over,game_duration 27.5,17.53%,1.53,1.8,Bet365,,pending,1,1,1
2023-10-13,LOL - World Champs Play-In,Team BDS,DetonatioN FocusMe,under,total_inhibitors 1.5,9.19%,2.06,2.25,Bet365,,pending,1,1,1
2023-11-01,Coupe de France,Team GO,Team du Sud,over,total_kills 31.5,5.34%,1.74,1.832,Dafabet,,pending,1,0,0
2023-11-01,Coupe de France,Team GO,Team du Sud,FD,first_dragon Team du Sud,4.83%,1.82,1.906,Dafabet,,pending,1,0,0
2023-11-01,Coupe de France,Team GO,Team du Sud,under,game_duration 31.0,22.14%,1.54,1.879,Dafabet,,pending,1,0,0
2023-10-12,LOL - World Champs Play-In,PSG Talon,LOUD,under,total_barons 1.5,1.71%,1.87,1.9,Bet365,,pending,1,1,1
2023-10-13,LOL - World Champs Play-In,Team BDS,DetonatioN FocusMe,under,total_barons 1.5,0.58%,1.52,1.53,Bet365,,pending,1,1,1
2023-11-01,Coupe de France,Team GO,Team du Sud,over,total_barons 1.5,1.80%,2.5,2.545,Dafabet,,pending,1,0,0
2023-10-13,LOL - World Champs Play-In,Movistar R7,GAM Esports,over,total_kills 26.5,29.45%,1.41,1.83,Bet365,,pending,1,1,1
2023-10-13,LOL - World Champs Play-In,Team BDS,DetonatioN FocusMe,over,total_dragons 4.5,2.32%,2.69,2.75,Bet365,,pending,1,1,1
2023-10-13,LOL - World Champs Play-In,Team BDS,DetonatioN FocusMe,over,game_duration 28.5,8.72%,1.68,1.83,Bet365,,pending,1,1,1
2023-10-14,LOL - World Champs Play-In,LOUD,GAM Esports,under,total_dragons 4.5,19.04%,1.44,1.72,Bet365,,pending,1,1,1
2023-10-14,LOL - World Champs Play-In,LOUD,GAM Esports,under,total_kills 28.5,6.34%,1.69,1.8,Bet365,,pending,1,1,1
2023-10-14,LOL - World Champs Play-In,LOUD,GAM Esports,under,game_duration 32.5,35.81%,1.35,1.83,Bet365,,pending,1,1,1
2023-10-14,LOL - World Champs Play-In,LOUD,GAM Esports,under,total_inhibitors 1.5,9.84%,2.05,2.25,Bet365,,pending,1,1,1
2023-10-14,LOL - World Champs Play-In,CTBC Flying Oyster,Team BDS,over,total_dragons 4.5,31.25%,1.9,2.5,Bet365,,pending,1,1,1
2023-10-14,LOL - World Champs Play-In,CTBC Flying Oyster,Team BDS,under,total_towers 11.5,14.00%,1.67,1.9,Bet365,,pending,1,1,1
2023-10-14,LOL - World Champs Play-In,CTBC Flying Oyster,Team BDS,over,game_duration 29.5,21.50%,1.48,1.8,Bet365,,pending,1,1,1
2023-10-14,LOL - World Champs Play-In,CTBC Flying Oyster,Team BDS,under,total_inhibitors 1.5,18.13%,1.9,2.25,Bet365,,pending,1,1,1
2023-10-14,2023 World Championship Play-In,LOUD,GAM Esports,over,total_kills 26.5,11.23%,1.7,1.887,Dafabet,,pending,1,1,1
2023-10-14,2023 World Championship Play-In,LOUD,GAM Esports,under,game_duration 31.0,7.59%,1.78,1.915,Dafabet,,pending,1,1,1
2023-10-14,2023 World Championship Play-In,LOUD,GAM Esports,under,total_barons 1.5,3.70%,1.71,1.771,Dafabet,,pending,1,1,1
2023-10-17,Iberian Cup,Movistar Riders,ZETA,FD,first_dragon ZETA,126.70%,1.0,2.267,Dafabet,,pending,1,1,1
2023-10-14,LOL - World Champs Play-In,CTBC Flying Oyster,Team BDS,over,total_barons 1.5,16.88%,2.35,2.75,Bet365,https://www.bet365.com/#/AC/B151/C20909288/D19/E18093190/F19/,pending,1,1,1
2023-10-15,LOL - World Champs Play-In,Team Whales,GAM Esports,under,total_dragons 4.5,18.95%,1.54,1.83,Bet365,https://www.bet365.com/#/AC/B151/C20909288/D19/E18100196/F19/,pending,1,1,1
2023-10-15,LOL - World Champs Play-In,Team Whales,GAM Esports,under,total_towers 12.5,9.90%,1.43,1.57,Bet365,https://www.bet365.com/#/AC/B151/C20909288/D19/E18100196/F19/,pending,1,1,1
2023-10-15,LOL - World Champs Play-In,Team Whales,GAM Esports,under,total_kills 27.5,5.22%,1.74,1.83,Bet365,https://www.bet365.com/#/AC/B151/C20909288/D19/E18100196/F19/,pending,1,1,1
2023-10-15,LOL - World Champs Play-In,Team Whales,GAM Esports,under,game_duration 32.5,28.10%,1.43,1.83,Bet365,https://www.bet365.com/#/AC/B151/C20909288/D19/E18100196/F19/,pending,1,1,1
2023-10-15,LOL - World Champs Play-In,Team Whales,GAM Esports,under,total_inhibitors 1.5,35.00%,1.67,2.25,Bet365,https://www.bet365.com/#/AC/B151/C20909288/D19/E18100196/F19/,pending,1,1,1
2023-10-15,LOL - World Champs Play-In,PSG Talon,Team BDS,under,total_dragons 4.5,18.47%,1.6,1.9,Bet365,https://www.bet365.com/#/AC/B151/C20909288/D19/E18101209/F19/,pending,1,1,1
2023-10-15,LOL - World Champs Play-In,PSG Talon,Team BDS,under,total_kills 25.5,3.34%,1.77,1.83,Bet365,https://www.bet365.com/#/AC/B151/C20909288/D19/E18101209/F19/,pending,1,1,1
2023-10-15,LOL - World Champs Play-In,PSG Talon,Team BDS,under,game_duration 32.5,8.72%,1.68,1.83,Bet365,https://www.bet365.com/#/AC/B151/C20909288/D19/E18101209/F19/,pending,1,1,1
2023-10-15,LOL - World Champs Play-In,PSG Talon,Team BDS,under,total_inhibitors 1.5,15.81%,1.94,2.25,Bet365,https://www.bet365.com/#/AC/B151/C20909288/D19/E18101209/F19/,pending,1,1,1
2023-10-15,2023 World Championship Play-In,GAM Esports,Team Whales,under,total_kills 27.5,6.95%,1.74,1.86,Dafabet,https://esports.e1q1j0ov.com/esportsite/index.html?v=231013200000&id=1032&token=&languageCode=0&liveStream=1&theme=default&streamer=1&streamerLiveStream=1#/,pending,1,1,1
2023-10-15,2023 World Championship Play-In,GAM Esports,Team Whales,under,game_duration 31.0,4.69%,1.9,1.994,Dafabet,https://esports.e1q1j0ov.com/esportsite/index.html?v=231013200000&id=1032&token=&languageCode=0&liveStream=1&theme=default&streamer=1&streamerLiveStream=1#/,pending,1,1,1
2023-10-15,2023 World Championship Play-In,GAM Esports,Team Whales,under,total_barons 1.5,10.22%,1.67,1.837,Dafabet,https://esports.e1q1j0ov.com/esportsite/index.html?v=231013200000&id=1032&token=&languageCode=0&liveStream=1&theme=default&streamer=1&streamerLiveStream=1#/,pending,1,1,1
2023-10-19,LOL - World Champs,Gen.G,GAM Esports,over,total_dragons 3.5,92.50%,1.14,2.2,Bet365,https://www.bet365.com/#/AC/B151/C20902720/D19/E18108568/F19/,pending,1,1,1
2023-10-19,LOL - World Champs,Gen.G,GAM Esports,over,total_towers 10.5,76.00%,1.25,2.2,Bet365,https://www.bet365.com/#/AC/B151/C20902720/D19/E18108568/F19/,pending,1,1,1
2023-10-19,LOL - World Champs,Gen.G,GAM Esports,over,total_kills 22.5,8.75%,1.38,1.5,Bet365,https://www.bet365.com/#/AC/B151/C20902720/D19/E18108568/F19/,pending,1,1,1
2023-10-19,LOL - World Champs,Gen.G,GAM Esports,over,game_duration 26.5,60.13%,1.14,1.83,Bet365,https://www.bet365.com/#/AC/B151/C20902720/D19/E18108568/F19/,pending,1,1,1
2023-10-19,LOL - World Champs,Gen.G,GAM Esports,under,total_inhibitors 1.5,14.38%,1.6,1.83,Bet365,https://www.bet365.com/#/AC/B151/C20902720/D19/E18108568/F19/,pending,1,1,1
2023-10-19,LOL - World Champs,Gen.G,GAM Esports,over,total_barons 1.5,102.50%,2.22,4.5,Bet365,https://www.bet365.com/#/AC/B151/C20902720/D19/E18108568/F19/,pending,1,1,1
2023-10-19,LOL - World Champs,NRG,Weibo Gaming,over,total_dragons 3.5,8.68%,1.48,1.61,Bet365,https://www.bet365.com/#/AC/B151/C20902720/D19/E18108569/F19/,pending,1,1,1
2023-10-19,LOL - World Champs,NRG,Weibo Gaming,over,total_towers 11.5,57.50%,1.43,2.25,Bet365,https://www.bet365.com/#/AC/B151/C20902720/D19/E18108569/F19/,pending,1,1,1
2023-10-19,LOL - World Champs,NRG,Weibo Gaming,over,total_kills 23.5,23.53%,1.48,1.83,Bet365,https://www.bet365.com/#/AC/B151/C20902720/D19/E18108569/F19/,pending,1,1,1
2023-10-19,LOL - World Champs,NRG,Weibo Gaming,over,game_duration 26.5,28.10%,1.43,1.83,Bet365,https://www.bet365.com/#/AC/B151/C20902720/D19/E18108569/F19/,pending,1,1,1
2023-10-19,LOL - World Champs,NRG,Weibo Gaming,over,total_inhibitors 1.5,18.95%,1.54,1.83,Bet365,https://www.bet365.com/#/AC/B151/C20902720/D19/E18108569/F19/,pending,1,1,1
2023-10-19,LOL - World Champs,NRG,Weibo Gaming,over,total_barons 1.5,130.00%,1.74,4.0,Bet365,https://www.bet365.com/#/AC/B151/C20902720/D19/E18108569/F19/,pending,1,1,1
2023-10-19,LOL - World Champs,G2 Esports,Dplus KIA,over,total_towers 11.5,8.68%,1.48,1.61,Bet365,https://www.bet365.com/#/AC/B151/C20902720/D19/E18108570/F19/,pending,1,1,1
2023-10-19,LOL - World Champs,G2 Esports,Dplus KIA,over,game_duration 30.5,9.80%,1.67,1.83,Bet365,https://www.bet365.com/#/AC/B151/C20902720/D19/E18108570/F19/,pending,1,1,1
2023-10-19,LOL - World Champs,G2 Esports,Dplus KIA,under,total_inhibitors 1.5,6.25%,2.35,2.5,Bet365,https://www.bet365.com/#/AC/B151/C20902720/D19/E18108570/F19/,pending,1,1,1
2023-10-19,LOL - World Champs,JD Gaming,Team BDS,over,total_dragons 3.5,80.00%,1.25,2.25,Bet365,https://www.bet365.com/#/AC/B151/C20902720/D19/E18108571/F19/,pending,1,1,1
2023-10-19,LOL - World Champs,JD Gaming,Team BDS,over,total_towers 10.5,74.37%,1.29,2.25,Bet365,https://www.bet365.com/#/AC/B151/C20902720/D19/E18108571/F19/,pending,1,1,1
2023-10-19,LOL - World Champs,JD Gaming,Team BDS,over,game_duration 26.5,46.40%,1.25,1.83,Bet365,https://www.bet365.com/#/AC/B151/C20902720/D19/E18108571/F19/,pending,1,1,1
2023-10-19,LOL - World Champs,JD Gaming,Team BDS,over,total_barons 1.5,40.00%,2.86,4.0,Bet365,https://www.bet365.com/#/AC/B151/C20902720/D19/E18108571/F19/,pending,1,1,1
2023-10-19,LOL - World Champs,T1,Team Liquid,over,total_dragons 3.5,46.40%,1.25,1.83,Bet365,https://www.bet365.com/#/AC/B151/C20902720/D19/E18108572/F19/,pending,1,1,1
2023-10-19,LOL - World Champs,T1,Team Liquid,over,total_towers 10.5,70.50%,1.29,2.2,Bet365,https://www.bet365.com/#/AC/B151/C20902720/D19/E18108572/F19/,pending,1,1,1
2023-10-19,LOL - World Champs,T1,Team Liquid,over,total_kills 22.5,9.80%,1.67,1.83,Bet365,https://www.bet365.com/#/AC/B151/C20902720/D19/E18108572/F19/,pending,1,1,1
2023-10-19,LOL - World Champs,T1,Team Liquid,over,game_duration 26.5,46.40%,1.25,1.83,Bet365,https://www.bet365.com/#/AC/B151/C20902720/D19/E18108572/F19/,pending,1,1,1
2023-10-19,LOL - World Champs,T1,Team Liquid,under,total_inhibitors 1.5,5.00%,1.9,2.0,Bet365,https://www.bet365.com/#/AC/B151/C20902720/D19/E18108572/F19/,pending,1,1,1
2023-10-19,LOL - World Champs,T1,Team Liquid,over,total_barons 1.5,94.85%,2.22,4.33,Bet365,https://www.bet365.com/#/AC/B151/C20902720/D19/E18108572/F19/,pending,1,1,1
2023-10-19,LOL - World Champs,Cloud9,MAD Lions,under,total_dragons 4.5,35.00%,1.67,2.25,Bet365,https://www.bet365.com/#/AC/B151/C20902720/D19/E18108573/F19/,pending,1,1,1
2023-10-19,LOL - World Champs,Cloud9,MAD Lions,under,total_towers 12.5,9.80%,1.67,1.83,Bet365,https://www.bet365.com/#/AC/B151/C20902720/D19/E18108573/F19/,pending,1,1,1
2023-10-19,LOL - World Champs,Cloud9,MAD Lions,over,total_kills 26.5,5.22%,1.74,1.83,Bet365,https://www.bet365.com/#/AC/B151/C20902720/D19/E18108573/F19/,pending,1,1,1
2023-10-19,LOL - World Champs,Cloud9,MAD Lions,under,game_duration 31.5,5.22%,1.74,1.83,Bet365,https://www.bet365.com/#/AC/B151/C20902720/D19/E18108573/F19/,pending,1,1,1
2023-10-19,LOL - World Champs,Cloud9,MAD Lions,under,total_inhibitors 1.5,25.00%,2.0,2.5,Bet365,https://www.bet365.com/#/AC/B151/C20902720/D19/E18108573/F19/,pending,1,1,1
2023-10-19,LOL - World Champs,Cloud9,MAD Lions,under,total_barons 1.5,10.00%,2.0,2.2,Bet365,https://www.bet365.com/#/AC/B151/C20902720/D19/E18108573/F19/,pending,1,1,1
2023-10-19,LOL - World Champs,Bilibili Gaming,KT Rolster,under,total_dragons 4.5,26.00%,1.67,2.1,Bet365,https://www.bet365.com/#/AC/B151/C20902720/D19/E18108574/F19/,pending,1,1,1
2023-10-19,LOL - World Champs,Bilibili Gaming,KT Rolster,under,total_towers 12.5,7.90%,1.54,1.66,Bet365,https://www.bet365.com/#/AC/B151/C20902720/D19/E18108574/F19/,pending,1,1,1
2023-10-19,LOL - World Champs,Bilibili Gaming,KT Rolster,over,total_kills 26.5,5.22%,1.74,1.83,Bet365,https://www.bet365.com/#/AC/B151/C20902720/D19/E18108574/F19/,pending,1,1,1
2023-10-19,LOL - World Champs,Bilibili Gaming,KT Rolster,over,game_duration 30.5,5.22%,1.74,1.83,Bet365,https://www.bet365.com/#/AC/B151/C20902720/D19/E18108574/F19/,pending,1,1,1
